,Criterion,Sensitivity (TP for exclusion),Sensitivity Calculation,Specificity (TN for inclusion),Specificity Calculation
0,The patient's age is less than 18,0.0,N/A,1.0,24/24
1,The patient has a diagnosis of pancreatic adenocarcinoma,1.0,23/23,0.0,0/1
2,The patient has a diagnosis of pancreatic acinar cell carcinoma,0.0,N/A,1.0,24/24
3,The patient has a diagnosis of pancreatic islet cell carcinoma,0.0,N/A,1.0,24/24
4,The patient has a diagnosis of pancreatic neuroendocrine tumor,0.0,N/A,1.0,24/24
5,The patient is BRCA positive,0.3333333333333333,1/3,1.0,21/21
6,The patient's pancreatic cancer is resectable,1.0,5/5,1.0,19/19
7,The patient's pancreatic cancer is borderline resectable,1.0,3/3,1.0,21/21
8,The patient's pancreatic cancer is locally advanced,1.0,1/1,0.9565217391304348,22/23
9,The patient's pancreatic cancer is metastatic,1.0,15/15,1.0,9/9
10,The patient's pancreatic cancer is metastatic with lesions in the central nervous system,0.0,N/A,0.9583333333333334,23/24
11,"The patient has had prior adjuvant, neoadjuvant, or induction treatment for pancreatic cancer.",1.0,6/6,0.9444444444444444,17/18
12,The patient has had prior chemotherapy for pancreatic cancer.,1.0,6/6,1.0,18/18
13,The patient has had prior radiotherapy for pancreatic cancer.,0.0,N/A,0.875,21/24
14,The patient has had prior T-cell costimulation or immune checkpoint blockade therapies for pancreatic cancer.,1.0,1/1,1.0,23/23
15,The patient has had prior hormonal therapy for pancreatic cancer.,0.0,N/A,1.0,24/24
16,The patient has had prior surgical resection for pancreatic cancer.,0.9,9/10,1.0,14/14
17,The patient has had disease progression on 5-FU for metastatic or unresectable pancreatic ductal adenocarcinoma.,0.0,0/1,1.0,23/23
18,The patient has a macroscopically complete (R0 or R1 resection) within 6-12 weeks,1.0,4/4,0.85,17/20
19,The patient has had clinically significant adverse events excluding alopecia and Grade <=2 peripheral neuropathy.,0.0,N/A,0.7916666666666666,19/24
20,ECOG performance status (PS) is greater than 1.,1.0,2/2,1.0,22/22
21,ECOG performance status (PS) is greater than 2.,0.5,1/2,1.0,22/22
22,The patient has a history of uncontrolled intercurrent illness.,0.0,N/A,1.0,24/24
23,The patient has a history of uncontrolled hypertension.,0.0,N/A,0.9583333333333334,23/24
24,The patient has a history of vasomotor instability.,0.0,N/A,1.0,24/24
25,The patient has a history of seizure disorder.,0.0,N/A,1.0,24/24
26,The patient has a history of retinopathy or high risk of retinal detachment.,0.0,N/A,0.9583333333333334,23/24
27,The patient has a history of uncontrolled tumor-related pain.,0.0,N/A,0.9583333333333334,23/24
28,The patient has a history of leptomeningeal disease.,0.0,N/A,1.0,24/24
29,The patient has a history of Grade >=2 neuropathy.,0.0,N/A,0.9166666666666666,22/24
30,"The patient has a history of severe obstructive pulmonary disease or interstitial lung disease, pulm fibrosis, pulmonary hypersensitivity reaction, or active tuberculosis.",0.0,N/A,1.0,24/24
31,"The patient has a history of uncontrolled pleural effusion, pericardial effusion, or ascites requiring recurrent drainage.",0.0,N/A,1.0,24/24
32,The patient has a history of GI condition which could impair absorption or ability to ingest study drug (i.e. evidence of GI obstruction).,0.0,N/A,0.9166666666666666,22/24
33,The patient has a history of peptic ulcer disease.,0.0,N/A,0.9583333333333334,23/24
34,"The patient has a history of inflammatory dz of colon and rectum, severe uncontrolled diarrhea, Celiac disease.",0.0,N/A,0.9583333333333334,23/24
35,The patient has a history of rhabdomyolysis or elevated creatine phosphokinase (CPK).,0.0,N/A,1.0,24/24
36,"The patient has a history of clinically significant liver disease including alc hepatitis, cirrhosis, FLD, inherited liver dz.",0.0,N/A,1.0,24/24
37,The patient has a history of Gilbert's disease,0.0,N/A,1.0,24/24
38,"The patient has a history of uncontrolled hypercalcemia (on labs or symptomatic, requiring bisphosphonate therapy for hyperCa)",0.0,N/A,1.0,24/24
39,The patient has a history of uncontrolled hyperthyroidism (clinical hyperthyroidism uncontrolled by oral medication),0.0,N/A,1.0,24/24
40,The patient has a history of allogeneic organ or stem cell transplant,0.0,N/A,1.0,24/24
41,"The patient has a history of DVT, portal vein occlusion, PE, or other thromboembolic event during screening",0.0,N/A,0.9583333333333334,23/24
42,The patient has a history of Grade â‰¥ 3 hemorrhage or bleeding event within 28 days prior to initiation of study treatment,0.0,N/A,1.0,24/24
43,"The patient has a history of active autoimmune disease, uncontrolled psoriasis, porphyria, proximal myopathy or neuropathy (excluding hypothyroidism on thyroid replacement, controlled T1DM, well-controlled skin conditions)",0.0,N/A,0.9583333333333334,23/24
44,The patient has a recent history of active infections requiring systemic therapy,0.0,N/A,0.9166666666666666,22/24
45,The patient has a history of other malignancy within 2 years that does not include malignancies with a low rate of metastatic spread.,1.0,1/1,0.9565217391304348,22/23
46,"The patient has had active/symptomatic coronary artery disease, myocardial infarction, stroke, or PCI within 2 years.",0.0,0/1,1.0,23/23
47,The patient has a history of life-threatening arrhythmia.,0.0,N/A,1.0,24/24
48,The patient has a history of EF <40% within last 3 months.,0.0,N/A,1.0,24/24
49,The patient has a history of NYHA Class III or IV congestive heart failure within 3 months.,0.0,N/A,1.0,24/24
50,The patient has had GI/colon resection surgery within the last 12 months.,1.0,1/1,1.0,23/23
51,The patient has had urinary bladder surgery within the last 12 months.,0.0,N/A,1.0,24/24
52,The patient has a history of splenectomy or functional asplenia.,1.0,3/3,0.9523809523809523,20/21
53,The patient has had major surgery requiring general anesthesia within the last 12 months.,0.0,N/A,0.9166666666666666,22/24
54,The patient has a psychiatric condition limiting their ability to participate in the trial.,0.0,N/A,1.0,24/24
55,The patient has had severe depression requiring hospitalization in the last two years OR has any history of SA.,0.0,N/A,1.0,23/23
56,"The patient is taking a moderate inhibitor, string inhibitor, moderate inducer, or strong inducer of CYP3A4.",0.0,N/A,1.0,24/24
57,The patient is taking an acetylcholinesterase inhibitor.,0.0,N/A,1.0,24/24
58,The patient is taking metformin.,0.2,1/5,0.9473684210526315,18/19
59,The patient is taking hydroxychloroquine.,0.0,N/A,1.0,24/24
60,The patient is taking anticoagulation that is actively being adjusted.,0.0,N/A,1.0,24/24
61,The patient is taking abrivudine or sorivudine.,0.0,N/A,1.0,24/24
62,The patient is taking a UGT1A1 inhibitor or inducer.,0.0,N/A,1.0,24/24
63,"The patient is taking systemic immunosuppression, such as corticosteroids, cyclophosphamide, azathioprine, methotrexate, thalidomide, calcineurin inhibitors, and anti-tumor necrosis factor alpha agents.",0.0,N/A,1.0,24/24
64,The patient is taking greater than 10mg prednisone or steroid equivalent daily.,0.0,N/A,1.0,24/24
65,The patient has taken other investigational agents within 4 weeks.,0.0,N/A,1.0,24/24
66,The patient has a documented allergy to compounds of similar chemical or biologic composition to CA-4948.,0.0,N/A,1.0,24/24
67,The patient has a documented allergy to gemcitabine.,0.0,N/A,1.0,24/24
68,The patient has a documented allergy to nab-paclitaxel.,0.0,N/A,1.0,24/24
69,"The patient has a documented allergy to oxaliplatin, irinotecan, leucovorin, fluorouracil, or pegfilgrastim.",0.0,N/A,1.0,24/24
70,The patient has a documented allergy to chimeric or humanized antibodies or fusion proteins.,0.0,N/A,1.0,24/24
71,The patient has a documented allergy to Chinese hamster ovary cell products or recombinant human antibodies.,0.0,N/A,1.0,24/24
72,"The patient has bradycardia with resting HR <50, hypotension with resting SBP <90mmHg, or vasomotor instability.",0.0,0/1,1.0,23/23
73,True if hemoglobin is less than 9.0,0.0,N/A,0.8333333333333334,20/24
74,ANC < 1.5E9/L,0.0,N/A,1.0,24/24
75,Lymphocyte count < 0.5E9/L,0.0,N/A,1.0,24/24
76,Platelets < 100E9/L,0.0,N/A,0.9583333333333334,23/24
77,Total bili > 1.5x ULN or > 3x ULN in Gilbert disease,0.5,1/2,0.9545454545454546,21/22
78,AST and ALT > 3x upper limit of normal,1.0,1/1,0.8695652173913043,20/23
79,"PT, aPTT, or INR > 2.5x upper limit of normal",0.0,N/A,1.0,24/24
80,Albumin < 3 g/dL,0.0,N/A,0.8333333333333334,20/24
81,GFR < 60 mL/min,0.0,N/A,1.0,24/24
82,CPK > 2.5x upper limit of normal,0.0,N/A,1.0,24/24
83,The patient has tested positive for HIV,0.0,N/A,1.0,24/24
84,The patient has active or symptomatic Hepatitis B,0.0,0/1,1.0,23/23
85,The patient has active or symptomatic Hepatitis C,0.0,0/1,1.0,23/23
86,The patient is actively breastfeeding,0.0,N/A,1.0,24/24
87,The patient's disease is unmeasurable on CT or MRI.,0.0,0/3,1.0,21/21
88,The patient's disease is not feasible or safe for biopsy.,0.0,N/A,1.0,24/24
89,The patient reports current or anticipated use of alternative medicine for the purpose of cancer treatment.,0.0,0/1,1.0,23/23
90,The patient's life expectancy is less than 3 months.,0.0,0/1,1.0,23/23
91,"The patient has contraindications for SBRT including the following: GI mucosal infiltration, significant planned overlap with prior abdominal radiotherapy.",0.0,N/A,1.0,24/24
92,The patient has a documented complete dihydropyrimidine dehydrogenase (DPD) deficiency including homozygous or compound heterozygous mutations of DPYD genetic locus associated with DPD deficiency.,0.0,N/A,1.0,24/24
93,The patient has been treated with a live attenuated vaccine within 4 weeks or anticipates a need for such tx during the study.,0.0,N/A,0.9583333333333334,23/24
94,There is concern for clot burden or DVT during the screening period and/or the patient is not on a stable anticoagulation regimen.,0.0,N/A,1.0,24/24
95,"The patient's disease is higher stage than T3N2M0 (i.e. T4, N3, or M1).",0.9333333333333333,14/15,0.8888888888888888,8/9
96,The patient is eligible for trial NCT03193190,0.875,7/8,1.0,16/16
97,The patient is eligible for trial NCT04104672,0.9,9/10,0.7857142857142857,11/14
98,The patient is eligible for trial NCT04543071,1.0,7/7,0.9411764705882353,16/17
99,The patient is eligible for trial NCT05241249,1.0,4/4,1.0,20/20
100,The patient is eligible for trial NCT03257033,1.0,1/1,1.0,23/23
101,The patient is eligible for trial NCT05254171,0.8888888888888888,8/9,0.7333333333333333,11/15
102,The patient is eligible for trial NCT06048484,0.0,N/A,0.9583333333333334,23/24
103,The patient is eligible for trial NCT05968326,1.0,3/3,0.9523809523809523,20/21
104,The patient is eligible for trial NCT05685602,0.0,0/1,1.0,23/23
